Page ID,Page name,Disclaimer,Amount spent (CZK)
707458719329186,Starostové Praha,Starostové a nezávislí,799
378937462177458,RD Rýmařov,RD Rýmařov,765
258023711270930,CAMP - Centrum architektury a městského plánování,These ads ran without a disclaimer,761
148545228915507,Mad Duck booking,Mad Duck booking,749
111041662264882,Sociální demokracie,Sociální demokracie,732
114535710292639,Homeenergy.cz,These ads ran without a disclaimer,707
187407575190610,Adam Scheinherr,These ads ran without a disclaimer,702
797495933631139,Roman Roun,Komunistická strana Čech a Moravy,684
110359415174945,Nikol Kroužek - místostarostka Prahy 3,Nikol Kroužek - místostarostka Prahy 3,680
109961708643319,Larry Larewaju,These ads ran without a disclaimer,669
2156599824411421,"Vojtěch Kos, starosta Prahy 12","Vojtěch Kos, starosta Prahy 12",665
214446241928330,Česká filharmonie,These ads ran without a disclaimer,654
187914681077210,Ladislav Vrabel,ČESKÁ REPUBLIKA NA 1. MÍSTĚ!,641
317530692148022,Evropa v datech,DFMG,641
101587908186187,Senátor Zbyněk Sýkora,Zbyněk Sýkora,618
254814835091677,Petr Venhoda,Petr Venhoda,614
202392473167706,"Mezinárodní vězeňské společenství, z. s.","Mezinárodní vězeňské společenství, z.s.",589
525606624188429,revue Prostor,revue Prostor,564
124212050978293,Kverulant org,Kverulant org,563
541077242579260,TOPAZ,TOPAZ,558
417959304728041,Голос Европы,These ads ran without a disclaimer,557
367656464950,TOP 09 - Praha 10,TOP 09 - Praha 10,549
1060889564019324,Tomáš Prouza,Tomáš Prouza,530
102282888493583,"Hana Novotná, zastupitelka Prahy 8",TOP 09,529
100973116090569,Tai Viet 03,These ads ran without a disclaimer,511
107579032190897,Ornare sit morbi,These ads ran without a disclaimer,511
426693680519323,Slibem neuzdravíš,Lékařský odborový klub - Svaz českých lékařů,496
169946526003,Nadace Partnerství,Nadace Partnerství,492
100563565936696,Sanford Kafutu Business Management,These ads ran without a disclaimer,487
111210916534,Příběhy bezpráví,These ads ran without a disclaimer,479
107473258147235,"Stanislav Nekolný, MBA, místostarosta Prahy 18 - Letňany","Stanislav Nekolný, MBA, místostarosta Prahy 18 - Letňany",475
1570680696523246,Institut pro politiku a společnost,Institut pro politiku a společnost,466
220092391192485,Tatiana Kárová,Tatiana Kárová,458
109312294926861,2. ekonomická transformace,Digital First Marketing Group s.r.o.,452
198431717471046,Společně pro Prahu 8 - TOP 09 a STAN,TOP 09,450
101932651984130,KultiVary,KultiVary z.s.,449
810056782516469,Patrik Nacher,ANO,443
400479656748554,Ivan Bartoš,Česká pirátská strana\t,441
158980731475210,Nina Spitalnikova,These ads ran without a disclaimer,433
146713862010620,Martin Baxa,Martin Baxa,433
189520154425807,Ministerstvo životního prostředí,Ministerstvo životního prostředí,431
56844830907,ESET,These ads ran without a disclaimer,428
528129403952646,Bratiska,These ads ran without a disclaimer,428
