Page ID,Page name,Disclaimer,Amount spent (CZK)
104087131747633,Zaostřeno,Zaostřeno,≤100
434518980326815,Šumperáci,Šumperáci,≤100
296695913524866,Bartonik - fresh bistro & café,These ads ran without a disclaimer,≤100
120461304659141,O2 CZ,These ads ran without a disclaimer,≤100
1982660762016859,Zuzana Ožanová - poslankyně,Zuzana Ožanová - poslankyně,≤100
947423695277896,JRD - Pro udržitelný život,These ads ran without a disclaimer,≤100
160084270693342,ODS Olomouc,Místní sdružení ODS   Olomouc-město,≤100
149188732082,"Gender Studies, o.p.s.",These ads ran without a disclaimer,≤100
321754948555757,Vojtěch Krňanský - starosta,Vojtěch Krňanský - starosta,≤100
100960119280607,David Ruman,David Ruman,≤100
447167062064041,Vladimíra Ludková,CORP Production s.r.o.,≤100
476377929220723,IDEA při CERGE-EI,These ads ran without a disclaimer,≤100
195571013845,Zigurat Institute of Technology,These ads ran without a disclaimer,≤100
374207829118098,Tetování.cz,These ads ran without a disclaimer,≤100
517173808442534,Pytlíkov.cz,These ads ran without a disclaimer,≤100
117156120152331,World Radio,These ads ran without a disclaimer,≤100
1514681915242215,Město Veselí nad Moravou,These ads ran without a disclaimer,≤100
2724697507604207,Petr Kratochvíl - radní města Brna pro dopravu,These ads ran without a disclaimer,≤100
330999140313095,(A)void Café,These ads ran without a disclaimer,≤100
107415778426373,Lipensko pro život,"Lipensko pro život, z.s.",≤100
109725215092123,RFI Українською,These ads ran without a disclaimer,≤100
424229800777957,Andrey Podgornuy,These ads ran without a disclaimer,≤100
167724669972197,Aluprof inspiruje,These ads ran without a disclaimer,≤100
103006121249974,"Healing Viewpoint: v léčivé fotografii a mimořádnostech, co život nesou",These ads ran without a disclaimer,≤100
444615295394309,Важные Новости,These ads ran without a disclaimer,≤100
236488496391722,Forbes Česko,These ads ran without a disclaimer,≤100
136321179736302,Sdružení SOVA,These ads ran without a disclaimer,≤100
103696135167136,František Koudela,These ads ran without a disclaimer,≤100
104234565840975,DIPLO Transport & Logistics - global,These ads ran without a disclaimer,≤100
289326184364,PRAGMOON,These ads ran without a disclaimer,≤100
110554525653740,Karlovarský kraj - oficiální stránka,Karlovarský kraj,≤100
108333184928748,Quantcom,These ads ran without a disclaimer,≤100
451080231410939,HLASY Severu,These ads ran without a disclaimer,≤100
467458009783660,Národně sociální strana,These ads ran without a disclaimer,≤100
105693982089835,FÓRUM Blansko,These ads ran without a disclaimer,≤100
528573226994553,Peter Tavel - váš kandidát na rektora,Peter Tavel,≤100
237185496149569,Škola pro zvídálky,Škola pro zvídálky,≤100
306118026622413,Brocast,These ads ran without a disclaimer,≤100
102499052190558,CEDMO,CEDMO,≤100
108256752103532,Josef Soumar - místostarosta Písku,Josef Soumar - místostarosta Písku,≤100
102919891383931,Domy sobě,These ads ran without a disclaimer,≤100
799083753454179,Voxpot,These ads ran without a disclaimer,≤100
1425502434411911,Transparent CZ,These ads ran without a disclaimer,≤100
197675639025,Kosmas.cz,These ads ran without a disclaimer,≤100
174443196377298,Krutý krtek,These ads ran without a disclaimer,≤100
