Disclaimer,Year,Amount spent (CZK)
Starostové a nezávislí,2025,1171
Jiri Hynek,2025,1170
Nové Boleslavsko,2025,1118
Europe Direct Kroměříž,2025,1102
"Friedrich-Ebert-Stiftung, zastoupení v České republice",2025,1085
ODS Brno,2025,1040
Nakladatelství P3K s.r.o.,2025,1032
STAN Brno-Starý Lískovec,2025,1012
Proměny zahrad,2025,1000
Info.cz,2025,999
Petr Bořecký,2025,999
Skanska v ČR a SR,2025,991
Jaroslav Kytýr,2025,975
Kutná Hora,2025,972
Petr Kratochvíl - radní města Brna pro dopravu,2025,970
Česká pirátská strana\t,2025,945
Psychologie a příroda,2025,935
Moravané,2025,930
Milan Krajča,2025,926
Zelení - Strana zelených,2025,920
Martin Horák,2025,915
Nesehnutí,2025,908
Michal Chládek,2025,879
Švýcarská demokracie (www.svycarska-demokracie.cz),2025,867
Tomáš Trnka - Lovec politiků,2025,864
Volnost Rovnost Bratrství,2025,857
Tom Philipp,2025,845
Žižkovská noc,2025,836
"Nový Prostor, z.ú.",2025,803
Jana Berkovcová,2025,800
Maria Hanclova,2025,799
Jakub Malačka - ze života zastupitele,2025,795
Jiří Lévay - Svoboda a přímá demokracie,2025,783
ODS - Ústí nad Labem,2025,753
Kverulant org,2025,740
Jako doma,2025,736
Nové Rychnovsko,2025,717
CEDMO,2025,707
Mária Ševčíková - 1. místostarostka Prahy 14,2025,701
Ivan Hýža - místostarosta Kunratic,2025,692
Jaroslav Demčák,2025,688
Kužílková Lucie,2025,683
Piráti Praha 8,2025,673
Martin Procházka,2025,665
Michael Rataj - Politik,2025,653
Filip Chvátal,2025,648
Milan Vrkoč - zastupitel Prahy 5,2025,648
"ANO, tohle je Ústecký kraj",2025,641
Lukáš Otys,2025,625
OP ČSSD Karviná,2025,624
RD Rýmařov,2025,601
Zbyněk Linhart,2025,597
Nikol Kroužek - místostarostka Prahy 3,2025,588
František Bureš,2025,588
David Vychtil - náměstek hejtmana Zlínského kraje,2025,586
"ADKINS Legal, s.r.o.",2025,586
Plzeňská Drbna,2025,546
NESEHNUTÍ,2025,545
Jan Jakob,2025,508
Josef Bazala,2025,503
Ukrajinská iniciativa jižní Moravy z.s.,2025,500
"Eva Rajchmanová, senátorka za Hodonínsko, Kyjovsko a Veselsko",2025,500
Hradišťáci,2025,491
Marek Novák,2025,484
Czech News Center a.s.,2025,482
ODS Frýdek-Místek,2025,480
Nezávislí pro Město Albrechtice 2022,2025,467
Jan Dohnal - primátor Ostravy,2025,455
Martin Major,2025,451
Martin Hájek,2025,445
"CEVRO ARENA, s.r.o.",2025,436
Ing. Radek Lacko - radní MČ Praha 4,2025,433
Radek Scherfer,2025,417
Strategeo Institute,2025,417
"Heinrich-Böll-Stiftung e.V., kancelář v Praze",2025,410
Půlmaraton Plzeňského kraje,2025,407
Petra Prokšanová,2025,386
Podcast Media s.r.o.,2025,365
Lenka Dražilová,2025,353
Vítězslav Novák,2025,343
Václav Cinádr - místostarosta Plzeň 2-Slovany,2025,341
STAN,2025,321
Hnutí NEJ,2025,318
SINOVIA CONSULT s.r.o.,2025,312
Jaroslav Komínek,2025,304
Konvalinka Vladislav - radní města Slaný,2025,282
Vojtěch Krňanský - starosta,2025,280
Tomáš Kratochvíl - starosta Bystrce,2025,261
8žije,2025,247
Petr Kouba - zastupitel města Třeboň,2025,222
Univerzita Hradec Králové,2025,219
Patrik Pizinger - starosta,2025,217
