Page ID,Amount spent (CZK),Number of ads in Library,Number of days
270370066152154,8199,81,31
271054846258904,21420,458,122
273251297864533,2802,103,22
273367223021327,137181,267,93
274981549029112,28619,241,35
275042429350706,138988,622,114
278117815576023,786970,838,39
278259998698281,64279,351,126
278781882181636,88438,318,83
280411075659709,133498,146,34
280617905401953,202569,911,285
281612878360690,56277,124,45
281661881695459,66727,165,24
281732115013900,126813,487,69
282765711734893,469624,774,72
283494298187808,25835,106,23
284247164921991,78968,431,148
286752372142599,31019,151,92
287075587832255,141135,181,38
287081384496142,212860,501,80
287466674450974,51561,808,37
288627030991926,79382,62,42
289292980940100,11342,89,39
290159387524447,72515,136,68
290464181002849,116850,1675,47
292218360631750,16569,118,33
293184477211841,36254,922,23
296512660211718,6769,112,22
297228640376151,77301,197,63
297565827101858,365881,505,136
298789466930469,117621,208,148
300226419829971,97820,222,29
302134090396266,34484,169,117
305841779280815,73033,465,97
305848590036657,100753,298,27
308240522910962,28271,112,27
310483088825378,9430,84,35
315747282263515,2817,32,21
315972808450196,313562,401,186
317530692148022,20440,62,25
317802208282505,116791,221,68
318669934660466,68195,59,30
319958294730813,14304,128,51
322507680956575,96602,675,29
325052354017676,15336,106,49
326185347254513,20004,39,23
326296297718790,80038,647,46
326507470746765,6977,79,32
330082643514337,89466,441,89
332418787330819,122570,1077,209
334203283397849,80156,232,61
336346979568723,139512,192,49
337864559417728,14011,42,23
338694652654920,43154,125,25
340794862444046,90897,1513,86
341109722420138,61634,281,63
341564839045337,332551,1557,59
343987063337791,11411,220,97
344542362982337,326402,6131,373
345130612167293,9675,23,23
349564778485733,10932,120,45
351488672592066,21806,225,22
351682148030970,60629,352,52
352991961225671,20907,115,38
353821314687878,9230,108,33
353890264472512,92390,368,36
354427944702361,58213,236,43
355004424357828,18095,209,63
355550584307322,29923,271,78
355836777621181,55189,336,27
356448681873897,120800,269,69
356451014434612,71939,366,135
362665747414675,5120,44,30
364077133451941,16713,89,35
364089260357085,107404,1031,114
370011249523134,26774,157,27
371102969577848,85789,387,65
376429912214135,44051,149,45
376917739059943,323194,575,58
378827025796132,32949,1439,200
