ad_id,country,age_range,male,female,unknown
912429137051441,CZ,18-24,218.0,27.0,14.0
912429137051441,CZ,45-54,416.0,99.0,2.0
912429137051441,CZ,65+,1334.0,968.0,14.0
912429137051441,CZ,55-64,697.0,388.0,6.0
912429137051441,CZ,35-44,206.0,23.0,4.0
912429137051441,CZ,25-34,112.0,19.0,4.0
3743046369357922,CZ,18-24,433.0,46.0,28.0
3743046369357922,CZ,25-34,507.0,62.0,13.0
3743046369357922,CZ,35-44,1030.0,89.0,13.0
3743046369357922,CZ,45-54,1830.0,322.0,14.0
3743046369357922,CZ,55-64,1126.0,424.0,11.0
1053206606269745,CZ,18-24,545.0,78.0,41.0
1053206606269745,CZ,25-34,268.0,43.0,13.0
1053206606269745,CZ,35-44,425.0,60.0,6.0
1053206606269745,CZ,45-54,765.0,165.0,9.0
1053206606269745,CZ,55-64,506.0,199.0,7.0
852959393309101,CZ,18-24,775.0,73.0,76.0
852959393309101,CZ,25-34,527.0,50.0,13.0
852959393309101,CZ,35-44,905.0,89.0,18.0
852959393309101,CZ,45-54,1531.0,258.0,11.0
852959393309101,CZ,55-64,1057.0,315.0,14.0
1277096836961428,CZ,18-24,902.0,47.0,17.0
1277096836961428,CZ,45-54,9088.0,683.0,50.0
1277096836961428,CZ,65+,4139.0,2723.0,33.0
1277096836961428,CZ,55-64,6014.0,1525.0,21.0
1277096836961428,CZ,35-44,8331.0,290.0,60.0
1277096836961428,CZ,25-34,6329.0,152.0,26.0
532409696208284,CZ,18-24,225.0,19.0,5.0
532409696208284,CZ,25-34,553.0,42.0,3.0
532409696208284,CZ,35-44,905.0,88.0,2.0
532409696208284,CZ,45-54,1193.0,261.0,6.0
532409696208284,CZ,55-64,714.0,258.0,3.0
949710996986318,CZ,18-24,1088.0,91.0,54.0
949710996986318,CZ,25-34,1397.0,77.0,19.0
949710996986318,CZ,35-44,1940.0,144.0,24.0
949710996986318,CZ,45-54,2563.0,418.0,17.0
949710996986318,CZ,55-64,1318.0,514.0,12.0
4713056655586828,CZ,18-24,10924.0,3666.0,864.0
4713056655586828,CZ,25-34,6985.0,1214.0,241.0
4713056655586828,CZ,35-44,2446.0,406.0,57.0
4713056655586828,CZ,45-54,1591.0,440.0,24.0
4713056655586828,CZ,55-64,453.0,175.0,7.0
